,MEDICINES  LIST   7-6-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ANTI DIABETIC - A (1-10),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP DATE,STOCK FOR JUNE,COST,TOTAL STOCK,,,,,,,,
,122,SYRUP  LYPER,,117,,0,,,,,,,,
,,Ferrous Ascorbate and Folic Acid Suspension,,,,,,,,,,,,
,123,SYRUP NUCETRON ,Aug-27,40,,0,,,,,,,,
,,Ondansetron Hydrochloride,,,,,,,,,,,,
,125,SYRUP SPASMOSIL P,Mar-27,82,,0,,,,,,,,
,,Dicyclomine Hydrochloride +Simethicone Oral Suspension,,,,,,,,,,,,
,126,SYRUP SANSICOFF- LS,Dec-26,90,,0,,,,,,,,
,,Levosalbutamol Sulphate + Ambroxol Hydrochloride Guaiphebesia,,,,,,,,,,,,
,127,SYRUP PYREXIL 250 ,Jul-27,31,,50,,,,,,,,
,,Paracetamol 250 mg,,,,,,,,,,,,
,128, SYRUP SYNFAST AF,Dec-26,15,,0,,,,,,,,
,,Phenylephrine Hydrochloride & Chlorpheniramine Maleate Syrup,,,,,,,,,,,,
,129,SYRUP MOXITIV CV ,May-27,44,,,,,,,,,,
,,Amoxycillin  200mg + Potassium Clavulanic Acid 28.5 mg Oral Suspension,,,,,,,,,,,,
,130,SYRUP- ALTEC,Oct-26,39,,50,,,,,,,,
,,Albendazole Oral Suspension I.P.,,,,,,,,,,,,
,132,ZYVAL P NASAL DROPS,Oct-26,33,,,,,,,,,,
,,Xylometazoline Nasal Drops 0.05% w/v,,,,,,,,,,,,
,134,SYRUP ALMEFKEM - P FORTE,Jul-26,24,,0,,,,,,,,
,,Paracetamol +Mefanamic Acid  Suspension,,,,,,,,,,,,
,135,SYRUP G FINE BC ,Aug-26,44,,0,,,,,,,,
,,Bacillus Clausii Spores Suspension,,,,,,,,,,,,
,136,SPOROLAC SACHETS  POWDER,Jan-27,440,,0,,,,,,,,
,,Bacillus Clausii Spores Suspension,,,,,,,,,,,,
,,,,,,,,,,,,,,
,OTHERS -M(141-170),,,,COST,TOTAL STOCK,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP DT,STOCK,,,,,,,,,,
,141, THYRINE 50 ,,1470/49,,1800,,,,,,,,
,,Thyroxine Sodium Tablets 50mcg,,,,,,,,,,,,
,142, THYRINE 100,,2400/80,,1800,,,,,,,,
,,Thyroxine Sodium Tablets 100 mcg,,,,,,,,,,,,
,143, THYRINE 75,,1440/48,,1800,,,,,,,,
,,Thyroxine Sodium Tablets 75 mcg,,,,,,,,,,,,
,144, THYRINE 25,,1920/64,,1800,,,,,,,,
,,Thyroxine Sodium Tablets 25 mcg,,,,,,,,,,,,
,145, THYRINE  12.5,,1290/43,,1800,,,,,,,,
,,Thyroxine Sodium Tablets 12.5 mcg,,,,,,,,,,,,
